[2026-03-15T02:28:39.131Z] GET http://localhost:4321/images/app-screenshot-1.png → 404 (11ms, ?B)
[2026-03-15T02:28:39.143Z] GET http://localhost:4321/images/app-screenshot-2.png → 404 (13ms, ?B)
[2026-03-15T02:29:09.242Z] GET http://localhost:4321/src/styles/global.css?t=1773541749240 → 200 (65ms, 44777B)
[2026-03-15T02:29:09.242Z] GET http://localhost:4321/Users/tom/Documents/source_code/Nyx_landing/src/components/LanguageSwitcher.tsx?t=1773541749240 → 200 (73ms, 5334B)
[2026-03-15T02:29:14.783Z] GET http://localhost:4321/en → 200 (133ms, ?B)
[2026-03-15T02:29:14.921Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (?ms, 15042B)
[2026-03-15T02:29:14.922Z] GET http://localhost:4321/@vite/client → 200 (7ms, 294360B)
[2026-03-15T02:29:14.922Z] GET http://localhost:4321/@id/astro/runtime/client/dev-toolbar/entrypoint.js → 200 (5ms, 9749B)
[2026-03-15T02:29:14.922Z] GET http://localhost:4321/src/styles/global.css → 200 (7ms, 44777B)
[2026-03-15T02:29:14.922Z] GET http://localhost:4321/images/mascot.png → pending (?ms, ?B)
[2026-03-15T02:29:14.924Z] GET http://localhost:4321/@id/astro:scripts/before-hydration.js → 200 (5ms, 988B)
[2026-03-15T02:29:14.925Z] GET http://localhost:4321/images/app-screenshot-1.png → pending (?ms, ?B)
[2026-03-15T02:29:14.926Z] GET http://localhost:4321/images/app-screenshot-2.png → pending (?ms, ?B)
[2026-03-15T02:29:14.927Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-GCMJ7K6N.js?v=176711f4 → 200 (?ms, 2813B)
[2026-03-15T02:29:14.928Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-UBFS37DA.js?v=176711f4 → 200 (?ms, 4857B)
[2026-03-15T02:29:14.928Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=176711f4 → 200 (?ms, 7184B)
[2026-03-15T02:29:14.928Z] GET http://localhost:4321/@id/__x00__astro:toolbar:internal → 200 (12ms, ?B)
[2026-03-15T02:29:14.929Z] GET http://localhost:4321/node_modules/.pnpm/vite@7.3.1_jiti@2.6.1_lightningcss@1.31.1_yaml@2.8.2/node_modules/vite/dist/client/env.mjs → 200 (11ms, ?B)
[2026-03-15T02:29:14.930Z] GET http://localhost:4321/@react-refresh → pending (?ms, ?B)
[2026-03-15T02:29:14.955Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa2pL7W0Q5n-wU.woff2 → 200 (?ms, ?B)
[2026-03-15T02:29:14.956Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (?ms, ?B)
[2026-03-15T02:29:14.958Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-03-15T02:29:14.961Z] GET http://localhost:4321/node_modules/.vite/deps/astro-BE6YECNS.js?v=176711f4 → 200 (?ms, 20663B)
[2026-03-15T02:29:14.961Z] GET http://localhost:4321/node_modules/.vite/deps/audit-WLTWP44L.js?v=176711f4 → 200 (?ms, 52528B)
[2026-03-15T02:29:14.963Z] GET http://localhost:4321/node_modules/.vite/deps/xray-CIFJOFPU.js?v=176711f4 → 200 (?ms, 5722B)
[2026-03-15T02:29:14.963Z] GET http://localhost:4321/node_modules/.vite/deps/settings-F2ISS3QH.js?v=176711f4 → 200 (?ms, 6392B)
[2026-03-15T02:29:14.963Z] GET http://localhost:4321/node_modules/.vite/deps/toolbar-SW6GNZV3.js?v=176711f4 → 200 (3ms, 15789B)
[2026-03-15T02:29:14.966Z] GET http://localhost:4321/node_modules/.vite/deps/ui-library-RRNAZ76X.js?v=176711f4 → 200 (?ms, 29524B)
[2026-03-15T02:29:14.984Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-NW3GSXF7.js?v=176711f4 → 200 (?ms, 1716B)
[2026-03-15T02:29:14.984Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-IVCLOU5T.js?v=176711f4 → 200 (?ms, 48717B)
[2026-03-15T02:29:14.985Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-MUZKV7YD.js?v=176711f4 → 200 (?ms, 2456B)
[2026-03-15T02:29:14.986Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-ZPH5RHRB.js?v=176711f4 → 200 (?ms, 216145B)
[2026-03-15T02:29:14.986Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-MHMTZ27E.js?v=176711f4 → 200 (7ms, 123003B)
[2026-03-15T02:29:15.002Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-6CIVEWMC.js?v=176711f4 → 200 (?ms, 680B)
[2026-03-15T02:29:15.015Z] GET http://localhost:4321/Users/tom/Documents/source_code/Nyx_landing/src/components/LanguageSwitcher.tsx → 200 (8ms, 5334B)
[2026-03-15T02:29:15.015Z] GET http://localhost:4321/@id/@astrojs/react/client.js → 200 (8ms, 4723B)
[2026-03-15T02:29:15.016Z] GET http://localhost:4321/Users/tom/Documents/source_code/Nyx_landing/src/components/MobileMenu.tsx → 200 (7ms, 11638B)
[2026-03-15T02:29:15.023Z] GET http://localhost:4321/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=e1922aee → 200 (1ms, 12503B)
[2026-03-15T02:29:15.024Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-TMQEGJQE.js?v=176711f4 → 200 (1ms, 1005614B)
[2026-03-15T02:29:15.025Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-MEGOR7ID.js?v=176711f4 → 200 (?ms, 16410B)
[2026-03-15T02:29:15.029Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-DEYIUA6C.js?v=176711f4 → 200 (?ms, 45692B)
[2026-03-15T02:29:15.030Z] GET http://localhost:4321/node_modules/.vite/deps/react.js?v=e1922aee → 200 (?ms, 1024B)
[2026-03-15T02:29:15.045Z] GET http://localhost:4321/images/mascot.png → 404 (86ms, ?B)
[2026-03-15T02:29:15.131Z] GET http://localhost:4321/images/app-screenshot-1.png → 404 (23ms, ?B)
[2026-03-15T02:29:15.155Z] GET http://localhost:4321/images/app-screenshot-2.png → 404 (49ms, ?B)
[2026-03-15T02:29:15.759Z] GET http://localhost:4321/images/mascot.png → 404 (16ms, ?B)
[2026-03-15T02:29:15.775Z] GET http://localhost:4321/images/app-screenshot-1.png → 404 (13ms, ?B)
[2026-03-15T02:29:15.788Z] GET http://localhost:4321/images/app-screenshot-2.png → 404 (12ms, ?B)
[2026-03-15T02:29:16.003Z] GET http://localhost:4321/images/mascot.png → 404 (11ms, ?B)
[2026-03-15T02:29:16.014Z] GET http://localhost:4321/images/app-screenshot-1.png → 404 (13ms, ?B)
[2026-03-15T02:29:16.028Z] GET http://localhost:4321/images/app-screenshot-2.png → 404 (10ms, ?B)
[2026-03-15T02:29:27.296Z] GET http://localhost:4321/ → 200 (26ms, 106508B)
[2026-03-15T02:29:27.327Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (1ms, 15042B)
[2026-03-15T02:29:27.328Z] GET http://localhost:4321/@vite/client → 304 (6ms, ?B)
[2026-03-15T02:29:27.328Z] GET http://localhost:4321/@id/astro/runtime/client/dev-toolbar/entrypoint.js → 304 (7ms, ?B)
[2026-03-15T02:29:27.328Z] GET http://localhost:4321/src/styles/global.css → 304 (7ms, ?B)
[2026-03-15T02:29:27.333Z] GET http://localhost:4321/images/mascot.png → 404 (28ms, 4311B)
[2026-03-15T02:29:27.334Z] GET http://localhost:4321/@id/astro:scripts/before-hydration.js → 304 (3ms, ?B)
[2026-03-15T02:29:27.334Z] GET http://localhost:4321/images/app-screenshot-1.png → 404 (28ms, 4321B)
[2026-03-15T02:29:27.334Z] GET http://localhost:4321/images/app-screenshot-2.png → 404 (28ms, 4321B)
[2026-03-15T02:29:27.336Z] GET http://localhost:4321/node_modules/.pnpm/vite@7.3.1_jiti@2.6.1_lightningcss@1.31.1_yaml@2.8.2/node_modules/vite/dist/client/env.mjs → 304 (38ms, ?B)
[2026-03-15T02:29:27.336Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-GCMJ7K6N.js?v=176711f4 → 200 (?ms, 2813B)
[2026-03-15T02:29:27.336Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-UBFS37DA.js?v=176711f4 → 200 (?ms, 4857B)
[2026-03-15T02:29:27.336Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=176711f4 → 200 (?ms, 7184B)
[2026-03-15T02:29:27.336Z] GET http://localhost:4321/@id/__x00__astro:toolbar:internal → 304 (37ms, ?B)
[2026-03-15T02:29:27.337Z] GET http://localhost:4321/@react-refresh → 304 (36ms, ?B)
[2026-03-15T02:29:27.357Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa2pL7W0Q5n-wU.woff2 → 200 (?ms, ?B)
[2026-03-15T02:29:27.358Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (?ms, ?B)
[2026-03-15T02:29:27.358Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (2ms, ?B)
[2026-03-15T02:29:27.377Z] GET http://localhost:4321/node_modules/.vite/deps/astro-BE6YECNS.js?v=176711f4 → 200 (?ms, 20663B)
[2026-03-15T02:29:27.377Z] GET http://localhost:4321/node_modules/.vite/deps/audit-WLTWP44L.js?v=176711f4 → 200 (?ms, 52528B)
[2026-03-15T02:29:27.377Z] GET http://localhost:4321/node_modules/.vite/deps/xray-CIFJOFPU.js?v=176711f4 → 200 (1ms, 5722B)
[2026-03-15T02:29:27.378Z] GET http://localhost:4321/node_modules/.vite/deps/settings-F2ISS3QH.js?v=176711f4 → 200 (?ms, 6392B)
[2026-03-15T02:29:27.378Z] GET http://localhost:4321/node_modules/.vite/deps/toolbar-SW6GNZV3.js?v=176711f4 → 200 (?ms, 15789B)
[2026-03-15T02:29:27.378Z] GET http://localhost:4321/node_modules/.vite/deps/ui-library-RRNAZ76X.js?v=176711f4 → 200 (?ms, 29524B)
[2026-03-15T02:29:27.388Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-NW3GSXF7.js?v=176711f4 → 200 (1ms, 1716B)
[2026-03-15T02:29:27.404Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-IVCLOU5T.js?v=176711f4 → 200 (?ms, 48717B)
[2026-03-15T02:29:27.426Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-MUZKV7YD.js?v=176711f4 → 200 (1ms, 2456B)
[2026-03-15T02:29:27.427Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-ZPH5RHRB.js?v=176711f4 → 200 (?ms, 216145B)
[2026-03-15T02:29:27.428Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-MHMTZ27E.js?v=176711f4 → 200 (5ms, 123003B)
[2026-03-15T02:29:27.433Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-6CIVEWMC.js?v=176711f4 → 200 (?ms, 680B)
[2026-03-15T02:29:27.434Z] GET http://localhost:4321/Users/tom/Documents/source_code/Nyx_landing/src/components/MobileMenu.tsx → 304 (4ms, ?B)
[2026-03-15T02:29:27.435Z] GET http://localhost:4321/@id/@astrojs/react/client.js → 304 (3ms, ?B)
[2026-03-15T02:29:27.435Z] GET http://localhost:4321/Users/tom/Documents/source_code/Nyx_landing/src/components/LanguageSwitcher.tsx → 304 (3ms, ?B)
[2026-03-15T02:29:27.439Z] GET http://localhost:4321/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=e1922aee → 200 (?ms, 12503B)
[2026-03-15T02:29:27.439Z] GET http://localhost:4321/node_modules/.vite/deps/react.js?v=e1922aee → 200 (1ms, 1024B)
[2026-03-15T02:29:27.440Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-TMQEGJQE.js?v=176711f4 → 200 (?ms, 1005614B)
[2026-03-15T02:29:27.440Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-MEGOR7ID.js?v=176711f4 → 200 (?ms, 16410B)
[2026-03-15T02:29:27.440Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-DEYIUA6C.js?v=176711f4 → 200 (1ms, 45692B)
[2026-03-15T02:29:27.441Z] GET http://localhost:4321/images/mascot.png → 404 (52ms, ?B)
[2026-03-15T02:29:27.494Z] GET http://localhost:4321/images/app-screenshot-1.png → 404 (13ms, ?B)
[2026-03-15T02:29:27.507Z] GET http://localhost:4321/images/app-screenshot-2.png → 404 (28ms, ?B)
[2026-03-15T02:29:34.239Z] GET http://localhost:4321/ → 200 (27ms, 106554B)
[2026-03-15T02:29:34.272Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (1ms, 15042B)
[2026-03-15T02:29:34.274Z] GET http://localhost:4321/@vite/client → 304 (51ms, ?B)
[2026-03-15T02:29:34.274Z] GET http://localhost:4321/@id/astro/runtime/client/dev-toolbar/entrypoint.js → 304 (51ms, ?B)
[2026-03-15T02:29:34.274Z] GET http://localhost:4321/src/styles/global.css → 304 (53ms, ?B)
[2026-03-15T02:29:34.286Z] GET http://localhost:4321/@id/astro:scripts/before-hydration.js → 304 (40ms, ?B)
[2026-03-15T02:29:34.287Z] GET http://localhost:4321/images/mascot.png → 404 (67ms, 4311B)
[2026-03-15T02:29:34.287Z] GET http://localhost:4321/images/app-screenshot-1.png → 404 (67ms, 4321B)
[2026-03-15T02:29:34.287Z] GET http://localhost:4321/images/app-screenshot-2.png → 404 (67ms, 4321B)
[2026-03-15T02:29:34.310Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa2pL7W0Q5n-wU.woff2 → 200 (?ms, ?B)
